cleaned_term,source_code,source_term,mapped_concept_id,mapped_concept_name,mapped_rationale
"Drug-induced gout, ankle and foot",45548294,"Drug-induced gout, unspecified ankle and foot",46270453,Gout of ankle and/or foot caused by drug,"Concept 46270453 'Gout of ankle and/or foot caused by drug' explicitly represents gout that is (1) drug-induced and (2) localized to the ankle and/or foot. It matches the source term in etiology and anatomical site without adding details (e.g., acute/chronic, tophaceous) or omitting any. All other candidates are either more specific (chronic, tophaceous, specific joint) or more general (drug-induced gout any site), so 46270453 is the single exact clinical equivalent."
Labor and delivery complicated by fetal stress,45548832,Labor and delivery complicated by other evidence of fetal stress,-1,no_match,"None of the provided target concepts exactly represents a complication of both labor and delivery due specifically to fetal stress. Candidates are either: 
1) Too broad (e.g., ""Complication occurring during labor and delivery""),
2) Too narrow or add extra detail not in the source (e.g., ""Labor and delivery complicated by biochemical evidence of fetal stress"" or ""…by fetal heart-rate anomaly""), or
3) Omit the explicit link to labor AND delivery as a maternal complication (e.g., ""Fetal distress – in labor"" or ""Nonreassuring fetal status"").
Because an exact clinical equivalent is absent, no suitable match can be selected."
embolism in childbirth,45548837,Other embolism in childbirth,-1,no_match,"The source term denotes an embolic event occurring during childbirth without specifying the embolus type. No candidate concept represents an unspecified embolism limited to childbirth. Concepts such as “Embolism” (4185607) lack the childbirth context and are therefore too general, while concepts like “Air embolism in childbirth” (45757126) or “Pulmonary embolism in childbirth” (45757145) add embolus-type detail absent from the source term, making them over-specific. Consequently, none of the candidate concepts is an exact clinical equivalent."
Cutaneous chromomycosis,45552225,Cutaneous chromomycosis,4080755,Cutaneous chromoblastomycosis,"In clinical mycology, the term “chromomycosis” is used synonymously with “chromoblastomycosis,” a chronic cutaneous infection caused by pigmented (dematiaceous) fungi. The candidate concept 4080755 (Cutaneous chromoblastomycosis) refers to the same disease process, limited to the skin/subcutaneous tissue, with no additional qualifiers or loss of specificity. Therefore it is an exact clinical equivalent to the source term."
psychoactive substance abuse with intoxication,45552460,"Other psychoactive substance abuse with intoxication, unspecified",-1,no_match,"The source term simultaneously specifies two clinical elements: (1) abuse (harmful/non-dependent use) of a psychoactive substance and (2) the presence of intoxication. 

• 4239381 ""Harmful pattern of use of psychoactive substance"" covers abuse but lacks the intoxication component. 
• 607217 ""Psychoactive substance-induced intoxication"" covers intoxication but says nothing about ongoing abuse/harmful use. 

All other candidates are either limited to abuse or to intoxication, or pertain to specific substance classes, or are more general. None capture both required facets without adding or omitting clinical detail, so there is no exact equivalent among the provided concepts."
"reactive arthropathies, wrist",45553035,"Other reactive arthropathies, unspecified wrist",1244729,Reactive arthritis of joint of wrist region,"The source term describes a reactive arthropathy (reactive arthritis) affecting the wrist, with no specification of laterality or particular wrist sub-joint. Concept 1244729 ""Reactive arthritis of joint of wrist region"" exactly captures a reactive arthritis localized to the wrist region without adding or omitting clinical details. All other candidates are either more specific (e.g., limited to left, right, bilateral wrists, or to the radiocarpal joint) or describe broader or different conditions (e.g., post-infective arthritis of hand, disorder of forearm). Therefore, concept 1244729 is the single precise clinical equivalent."
"Poisoning by amphetamines, intentional self-harm",45555996,"Poisoning by amphetamines, intentional self-harm, initial encounter",606763,Intentional amphetamine and/or amphetamine derivative poisoning,"The source term specifies an intentional self-harm (self-poisoning) with amphetamines. Concept 606763 ""Intentional amphetamine and/or amphetamine derivative poisoning"" captures the same agent class (amphetamine and its derivatives) and the intentional nature of the poisoning, which implies self-inflicted harm. It is neither broader (excludes other substances) nor more specific than the source, making it an exact clinical match. Other candidates are either too broad (e.g., any intentional drug poisoning) or describe different intents or substances, and therefore do not meet equivalence criteria."
varicella complications,45556926,Other varicella complications,-1,no_match,"None of the candidate concepts accurately represent the generic notion of “complications of varicella.” The available targets are either (1) the uncomplicated infection itself (e.g., Varicella), (2) complications limited to a specific organ system (e.g., Chickenpox pneumonia, Post-varicella encephalitis, Neurological varicella), or (3) broader constructs that include zoster or non-complicated disease (e.g., Varicella-zoster virus infection). Therefore an exact clinical equivalent for the unspecified category “varicella complications” is not present in the list."
Reaction to severe stress and adjustment disorders,45557206,"Reaction to severe stress, and adjustment disorders",4152371,Stress and adjustment reaction,"The SNOMED concept ""Stress and adjustment reaction"" (4152371) corresponds to the ICD-10 category ""Reaction to severe stress and adjustment disorders"" (F43). It explicitly groups both severe stress reactions and adjustment disorders, matching the scope and specificity of the source term without being broader (e.g., all mental disorders) or narrower (e.g., only adjustment disorder or only acute stress reaction). Therefore, it is an exact clinical equivalent."
"Pauciarticular juvenile rheumatoid arthritis, elbow",45557771,"Pauciarticular juvenile rheumatoid arthritis, unspecified elbow",-1,no_match,"The source term specifies (1) juvenile rheumatoid/idiopathic arthritis, (2) pauci-/oligoarticular subtype, and (3) localization to the elbow. None of the candidate concepts simultaneously meet all three requirements. Concepts that specify only ""Juvenile idiopathic arthritis, oligoarthritis"" omit the elbow location, while those that specify ""Juvenile idiopathic arthritis of elbow"" omit the pauci/oligoarticular subtype. Therefore, no exact clinical equivalent is present among the candidates."
Mucocutaneous lymph node syndrome (Kawasaki),45557863,Mucocutaneous lymph node syndrome [Kawasaki],314381,Acute febrile mucocutaneous lymph node syndrome,"Concept 314381 ""Acute febrile mucocutaneous lymph node syndrome"" is synonymous with Kawasaki disease, also known as mucocutaneous lymph node syndrome. It matches precisely in clinical meaning, covering the same disease entity without adding or omitting relevant specificity. Other candidates represent complications, different conditions, or are unrelated, hence 314381 is the single exact match."
"infective bursitis, left wrist",45557973,"Other infective bursitis, left wrist",-1,no_match,"The source term requires all three elements: (1) bursitis, (2) infective (septic) etiology, and (3) left wrist location. 
• Concept 608441 ""Bursitis of left wrist"" has correct laterality and site but lacks the infective qualifier, so it is too general.
• Concept 4047351 ""Infected bursa"" includes infection but is nonspecific for wrist or laterality, so it is too general.
• Concept 4001621 ""Abscess of bursa of wrist"" introduces an abscess, adding clinical detail not present in the source, and lacks laterality, making it over- or under-specifying.
• All other candidates either lack the infective qualifier, the wrist site, or both (or describe arthritis rather than bursitis). Consequently, none is an exact clinical equivalent; therefore no suitable match exists."
"Major osseous defect, left lower leg",45558103,"Major osseous defect, left lower leg",-1,no_match,"The source term specifies a large (""major"") bone defect in the left lower leg. None of the candidate concepts captures both the notion of a bone defect (loss of bone substance) and the exact laterality/location while maintaining the same level of specificity. The closest option, ""Lesion of left lower leg bone"" (concept_id 42539222), is broader—it includes any abnormality of the bone (e.g., fractures, tumors, infections) and does not specifically denote a major osseous defect. All other candidates are either too general (e.g., ""Disorder of bone"") or describe different or more specific conditions (e.g., osteolysis, fractures, osteosarcoma). Therefore, no exact clinical equivalent is present among the targets."
"placental disorders, third trimester",45558312,"Other placental disorders, third trimester",-1,no_match,"The source term specifies both a placental disorder AND that it occurs in the third trimester. None of the candidate concepts include both required elements: those that describe placental disorders omit gestational timing, while the concept for third-trimester pregnancy lacks the specification of a placental disorder. Therefore, no exact clinical equivalent is present among the provided candidates."
Personal history of allergy to penicillin,45561667,Personal history of allergy to penicillin,4240903,Allergy to penicillin,"""Allergy to penicillin"" represents a patient's propensity or disposition to have an allergic reaction when exposed to penicillin. This is exactly what is conveyed by the phrase ""Personal history of allergy to penicillin""—the patient is known to be allergic. The other candidates are either too broad (e.g., ""Allergy to drug""), represent specific reaction events rather than the allergy status itself (e.g., ""Penicillin adverse reaction""), or pertain to laboratory tests or unrelated allergies. Thus concept 4240903 is the precise clinical equivalent."
Basal cell carcinoma of skin of trunk,45561802,Basal cell carcinoma of skin of other part of trunk,4297668,Basal cell carcinoma of truncal skin,"The target concept ""Basal cell carcinoma of truncal skin"" (4297668, SNOMED) retains exactly the same morphology (basal cell carcinoma) and the same anatomic location (skin of trunk) as the source term. It is neither broader (does not omit trunk location) nor more specific (does not add subtype or additional qualifiers). Therefore, it is a precise clinical equivalent according to Rules 1 and 2. All other candidates are either more specific variants (e.g., superficial, nodular) or different morphologies/locations, so they are not exact matches."
Type 1 diabetes mellitus with diabetic amyotrophy,45561948,Type 1 diabetes mellitus with diabetic amyotrophy,4143857,Lumbosacral radiculoplexus neuropathy due to type 1 diabetes mellitus,"Concept 4143857 explicitly represents lumbosacral radiculoplexus neuropathy (diabetic amyotrophy) due to type 1 diabetes mellitus, preserving both the diabetes type and the specific complication. No other candidate maintains this level of specificity without adding or omitting details."
"Oligohydramnios, second trimester",45563138,"Oligohydramnios, second trimester, other fetus",-1,no_match,"No candidate concept conveys both oligohydramnios AND its occurrence specifically in the second trimester. The closest option, concept 434111 ""Oligohydramnios,"" omits the gestational‐age detail, making it more general than the source term, which violates the requirement to maintain specificity."
Protozoal diseases complicating pregnancy,45563192,"Protozoal diseases complicating pregnancy, unspecified trimester",-1,no_match,"The closest candidate (concept_id 36715504, 'Protozoal disease complicating pregnancy childbirth and the puerperium') covers additional time periods (childbirth and puerperium) that are not specified in the source term, making it broader than 'complicating pregnancy' alone. All other candidates are either broader still (e.g., any infectious or parasitic disease) or represent specific protozoal sub-conditions. Therefore, no exact clinical equivalent is present among the provided target concepts."
Polydipsia,45563320,Polydipsia,432454,Excessive thirst,The SNOMED concept 432454 “Excessive thirst” lists Polydipsia as a parent/synonym and represents the same clinical finding of pathologically increased thirst and fluid intake. It matches the source term exactly in meaning without adding or omitting clinical detail.
Gonococcal spondylopathy,45566515,Gonococcal spondylopathy,72562,Gonococcal spondylitis,"The source term describes a vertebral (spinal) disorder caused by Neisseria gonorrhoeae. In clinical practice, gonococcal involvement of the spine manifests as infectious inflammation of the vertebrae, i.e., spondylitis. The target concept “Gonococcal spondylitis” carries the same anatomic location and etiologic agent with no meaningful loss or gain of clinical detail; the added word “-itis” reflects the expected inflammatory nature of the infection rather than an additional specification. No other candidate matches both the gonococcal etiology and spinal location. Therefore this concept is the closest exact clinical equivalent."
malignant neoplasm of skin of breast,45566588,Other specified malignant neoplasm of skin of breast,-1,no_match,"None of the candidate concepts is an exact clinical equivalent. All malignant skin‐of‐breast concepts offered either add extra specificity (e.g., “primary” or a specific histology such as melanoma, or laterality), describe metastasis rather than a native tumor, or are broader (e.g., malignant neoplasm of skin, malignant neoplasm of trunk). Therefore no candidate preserves the source term’s exact level of detail without adding or removing information."
Drug or chemical induced diabetes mellitus with circulatory complications,45566726,Drug or chemical induced diabetes mellitus with other circulatory complications,-1,no_match,"The source term specifies diabetes mellitus caused by drugs or chemicals AND explicitly states the presence of circulatory complications. None of the candidate concepts capture both required elements simultaneously. Some concepts describe drug-induced diabetes without specifying circulatory complications (e.g., concept 4202383), while others describe circulatory complications of diabetes without indicating drug-induced etiology (e.g., concept 321822, 4131908). Therefore, no exact clinical equivalent is available among the provided target concepts."
Acute on chronic systolic congestive heart failure,45567180,Acute on chronic systolic (congestive) heart failure,40480602,Acute on chronic systolic heart failure,"The target concept ""Acute on chronic systolic heart failure"" captures all key attributes of the source term: 1) temporal course (acute on chronic), 2) systolic dysfunction, and 3) heart failure which in systolic form is inherently congestive. It is neither broader nor more specific than the source term, making it an equivalent clinical concept."
Atherosclerosis of autologous vein bypass graft of right leg with ulceration of thigh,45567215,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of thigh,-1,no_match,"None of the candidate concepts preserves all critical clinical details contained in the source term. Each candidate is missing at least one of the following mandatory elements: (1) atherosclerosis of an autologous vein bypass graft, (2) restriction to the right lower limb, and (3) co-occurrent ulceration of the thigh. Because no concept captures the full combination of graft type, laterality, and associated ulcer, no exact clinical equivalent exists among the provided targets."
Pleural plaque with asbestos,45567277,Pleural plaque with presence of asbestos,4049971,Asbestos-induced pleural plaque,"The source term describes pleural plaques specifically attributable to asbestos exposure. Concept 4049971 ""Asbestos-induced pleural plaque"" matches exactly: it specifies pleural plaque and explicitly states asbestos as the cause. All clinical details (location: pleura, lesion type: plaque, etiology: asbestos) are preserved. No other candidate meets all these criteria without being broader or narrower."
Rheumatoid vasculitis with rheumatoid arthritis of left knee,45567408,Rheumatoid vasculitis with rheumatoid arthritis of left knee,-1,no_match,"The source term combines two specific findings: 1) rheumatoid vasculitis and 2) rheumatoid arthritis localized to the left knee. No candidate concept contains BOTH of these required components. Concepts such as 4271003 (""Rheumatoid vasculitis"") or 607145 (""Systemic rheumatoid vasculitis"") lack the explicit specification of left-knee rheumatoid arthritis, while joint-specific arthritis concepts (e.g., 37108590 ""Rheumatoid arthritis of left knee"") do not include vasculitis. Selecting any candidate would omit a clinically relevant element, violating the rule against loss of specificity. Therefore, no exact match exists among the provided targets."
Pathological fracture in neoplastic disease of right radius with delayed healing,45567717,"Pathological fracture in neoplastic disease, right radius, subsequent encounter for fracture with delayed healing",-1,no_match,"The source term specifies: 1) pathological fracture, 2) due to neoplastic disease, 3) located in the right radius, and 4) complicated by delayed healing. No candidate concept simultaneously represents all four required elements. The closest candidates (e.g., 760661 ""Pathological fracture of right radius due to neoplasm"") lack the ""delayed healing"" qualifier, while 40305987 ""Delayed union of fracture"" lacks the anatomical site, laterality, and neoplastic cause. Therefore, no exact equivalent concept is available among the provided targets."
Abscess of breast associated with pregnancy,45568000,"Abscess of breast associated with pregnancy, unspecified trimester",-1,no_match,"None of the candidate concepts are limited to abscess of the breast specifically occurring during pregnancy. The closest option, ""Obstetric abscess of breast,"" also includes childbirth and puerperium periods, making it broader than the source term. All other candidates either specify different time periods (lactation, postpartum) or different anatomical locations or general findings. Therefore no exact clinical equivalent is available among the provided targets."
Right lower quadrant abdominal rigidity,45568118,Right lower quadrant abdominal rigidity,197107,Abdominal rigidity of right lower quadrant,"The target concept ""Abdominal rigidity of right lower quadrant"" corresponds exactly to the source term in both clinical finding (abdominal rigidity) and anatomical location (right lower quadrant). It is neither broader nor more specific than the source. All other candidates describe different quadrants or different findings (pain, tenderness, mass), so they are not equivalent."
Acquired absence of bilateral breasts and nipples,45571402,Acquired absence of bilateral breasts and nipples,36716836,Bilateral acquired absence of breast,"The source term specifies an acquired (not congenital) complete absence of both breasts, including the nipples. In anatomical hierarchy the nipple is a component of the breast, so removal of the entire breast necessarily entails loss of the nipple. The target concept ""Bilateral acquired absence of breast"" preserves all key clinical details: acquired, bilateral, and total absence of the breast tissue (implicitly encompassing the nipples). No other candidate includes these attributes without adding or omitting information. Therefore this is an exact clinical match."
Abscess of bursa of right ankle and foot,45572532,"Abscess of bursa, right ankle and foot",-1,no_match,The source term specifies an abscess of a bursa involving BOTH the right ankle and the right foot. None of the candidate concepts simultaneously cover both anatomical sites; each concept is limited to either the right ankle or the right foot (or is broader/nonspecific). Therefore no exact clinical equivalent is present among the targets.
"Maternal care for viable fetus in abdominal pregnancy, third trimester",45572831,"Maternal care for viable fetus in abdominal pregnancy, third trimester, fetus 5",-1,no_match,"None of the candidate concepts simultaneously capture all required details: (1) maternal care, (2) viable fetus in an abdominal pregnancy, and (3) third-trimester timing. The closest candidate, 'Viable fetus in abdominal pregnancy' (Concept 4129027), lacks the maternal-care context and the trimester specification, making it broader than the source term. All other candidates are either too general, too specific, or describe different clinical circumstances. Therefore, no exact equivalent concept is available among the provided targets."
Myotonic chondrodystrophy,45576607,Myotonic chondrodystrophy,441280,Schwartz-Jampel syndrome,"""Myotonic chondrodystrophy"" is an alternative name for Schwartz-Jampel syndrome, whose synonyms include ""Chondrodystrophic myotonia"" and ""Myotonia chondrodystrophica."" This captures the combined presence of myotonia and chondrodystrophy described in the source term without adding or omitting clinical details. No other candidate is as specific or synonymous."
chondrocalcinosis of knee,45577143,"Other chondrocalcinosis, unspecified knee",40479260,Chondrocalcinosis of knee joint,"The target concept ""Chondrocalcinosis of knee joint"" (40479260) exactly represents chondrocalcinosis located in the knee joint, with no added laterality or etiology details and no loss of anatomical specificity. Other candidates are either more specific (e.g., right, left, bilateral knee) or more general (e.g., chondrocalcinosis without site), or introduce additional causative information, thus violating specificity or generality rules."
Pathological fracture of right femur with delayed healing,45577400,"Pathological fracture, right femur, subsequent encounter for fracture with delayed healing",-1,no_match,"No candidate includes all required details: pathological fracture + right femur + delayed healing. Available targets either lack the side specification, the pathological nature, or the delayed-healing qualifier, so none is an exact clinical equivalent."
Malfunction of incontinent external stoma of urinary tract,45577547,Malfunction of incontinent external stoma of urinary tract,4309167,Malfunction of external stoma of urinary tract,"The source term describes a malfunction (functional problem) of an incontinent external urinary stoma. SNOMED concept 4309167 ""Malfunction of external stoma of urinary tract"" represents the same clinical situation: a malfunction of an external (cutaneous, therefore incontinent) urinary tract stoma. It preserves the disorder type (malfunction), the anatomical context (urinary tract stoma), and the external/incontinent nature of the stoma. Other candidates are either broader (e.g., any complication of a stoma) or pertain to different or more specific stoma types (e.g., cystostomy, enterostomy) or unrelated conditions (e.g., hemorrhage). Therefore, concept_id 4309167 is the exact clinical equivalent."
"Diseases of blood and blood-forming organs and disorders involving immune mechanism complicating pregnancy, second trimester",45577672,"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, second trimester",-1,no_match,"The source term requires (1) a maternal disease of blood\/immune system, (2) specifically complicating pregnancy, and (3) explicit restriction to the second trimester. None of the candidate concepts simultaneously convey all three required elements. Concepts that specify the second trimester do not mention blood or immune disorders, while those that describe blood\/immune complications of pregnancy lack any trimester specification. Therefore no exact clinical equivalent exists among the provided targets."
Asymptomatic premature menopause,45581363,Asymptomatic premature menopause,-1,no_match,"No candidate concept retains both required attributes—premature menopause and the explicit qualifier ""asymptomatic."" The closest match, ""Premature menopause"" (Concept 198715), does not specify the absence of symptoms and is therefore broader than the source term. Other candidates are either unrelated (e.g., general endocrine disorders) or describe different clinical contexts (e.g., postprocedural ovarian failure). Consequently, there is no exact standard concept equivalent to ""Asymptomatic premature menopause"" in the provided list."
Pathological fracture of left shoulder with nonunion,45582279,"Pathological fracture, left shoulder, subsequent encounter for fracture with nonunion",-1,no_match,"No candidate concept simultaneously represents (1) pathological fracture, (2) left shoulder location, and (3) nonunion. Each candidate is missing at least one of these required clinical details; therefore, no exact standard concept match exists."
Vertebral subluxation complex of abdomen and other regions,45582380,Subluxation complex (vertebral) of abdomen and other regions,-1,no_match,"The source term specifies vertebral subluxation complex (i.e., segmental/somatic dysfunction) specifically involving the abdomen and additional (unspecified) regions. None of the candidate concepts capture both the ‘vertebral subluxation complex’ nature AND the exact anatomic scope ('abdomen and other regions').

• 4068848 “Subluxation complex (vertebral)” and 4068847 “Segmental and somatic dysfunction” are more general; they omit the anatomic qualifier, so they lose required detail.
• 36713915 “Somatic dysfunction of abdominal region” is too specific (abdomen only) and omits the “other regions.”
• Regional spine-specific subluxation concepts (e.g., cervical, thoracic, lumbar, sacrum) do not mention the abdomen and are therefore anatomically mismatched.
• Remaining candidates describe different locations (upper/lower limb), different conditions (stenosis, recurrent subluxation), or procedures, and are not equivalent.

Because no candidate preserves all clinical details of the source term without being broader or narrower, there is no exact match."
Anterior subcapsular polar infantile and juvenile cataract,45586422,"Anterior subcapsular polar infantile and juvenile cataract, unspecified eye",-1,no_match,"No candidate preserves both required attributes: (1) anatomical type ""anterior subcapsular polar cataract"" and (2) age of onset ""infantile and juvenile."" The concept ""Anterior subcapsular polar cataract"" (372315) lacks the infantile/juvenile specification, while concepts specifying infantile/juvenile or congenital cataract (e.g., 45770919 or 45757718) do not cover the broader infantile AND juvenile range or omit the precise cataract subtype. Therefore, no exact clinical equivalent exists in the provided list."
Osteitis condensans of hand,45587159,"Osteitis condensans, unspecified hand",-1,no_match,"None of the candidate concepts represent 'osteitis condensans specifically involving the hand'. The closest terms are 75920 'Osteitis condensans' (lacks hand location, thus too general) and 4065727 'Osteitis of hand' (covers any osteitis, not specifically the condensans/sclerosing type). Other candidates specify different anatomic sites (e.g., ilium, medial clavicle) or different pathologic entities. Therefore, no exact clinical equivalent is present among the provided concepts."
Induced termination of pregnancy with complications,45587269,(Induced) termination of pregnancy with other complications,37162983,Disorder following induced termination of pregnancy,"The source term indicates that an induced termination of pregnancy has resulted in unspecified complications. SNOMED concept 37162983 ""Disorder following induced termination of pregnancy"" precisely denotes any disorder/complication occurring after an induced termination. It matches the clinical scenario without adding or omitting specifics, whereas other candidates are either too general (e.g., ""Termination of pregnancy"") or specify particular types of complications. Therefore, concept 37162983 is the exact clinical equivalent."
Developmental ovarian cyst,45587461,Developmental ovarian cyst,4108900,Embryonic cyst of ovary,"The source term describes a congenital (developmental/embryonic) cyst located in the ovary. The target concept 4108900 ""Embryonic cyst of ovary"" is a disorder-level concept that exactly captures a developmental (embryonic) ovarian cyst without adding or omitting any clinical detail such as laterality or additional features. Other candidates are either more specific (right/left ovary), more general (cyst of ovary), or represent different contexts (morphologic abnormality). Therefore 4108900 is the precise clinical equivalent."
Malingerer,45590756,Malingerer [conscious simulation],4051630,Malingering,"The source term describes a person who intentionally feigns illness for secondary gain. The SNOMED concept 4051630 ""Malingering"" exactly represents this clinical behavior; it is neither broader nor narrower than the source term. Other candidates are either more specific (e.g., ""Feigning of symptoms"") or unrelated, so 4051630 is the precise match."
Antineoplastic chemotherapy-induced pancytopenia,45591012,Antineoplastic chemotherapy induced pancytopenia,36713112,Pancytopenia due to antineoplastic chemotherapy,"Concept 36713112 ""Pancytopenia due to antineoplastic chemotherapy"" is clinically identical to the source term. It specifies pancytopenia (all cell line reductions) caused by antineoplastic chemotherapy, matching the etiology and condition described. No additional details are added or lost, and none of the other candidates are as precise (they are either broader, e.g., pancytopenia caused by medication, or focused on other cytopenias). Hence this is an exact equivalence."
Alcohol dependence with intoxication,45591082,Alcohol dependence with intoxication,-1,no_match,"None of the candidate concepts simultaneously include BOTH components of the source term (alcohol dependence + current intoxication). Each candidate omits either the dependence aspect (e.g., Alcohol intoxication) or the intoxication aspect (e.g., Alcohol dependence) or is broader/unspecified (e.g., Alcohol-induced disorder co-occurrent and due to dependence). Therefore no exact clinical equivalent is present."
Locked-in state,45591199,Locked-in state,434644,Locked in syndrome,"The SNOMED concept 434644 ""Locked in syndrome"" is an exact clinical synonym for ""Locked-in state""; both describe the same neurological condition characterized by quadriplegia and anarthria with preserved consciousness. No other candidate maintains the required specificity and equivalence."
Infective myositis of left finger(s),45591868,"Infective myositis, left finger(s)",-1,no_match,"None of the candidate concepts specifies infective myositis localized to the finger(s). The closest options (e.g., 'Infective myositis of left hand') are anatomically broader than the source term, encompassing muscles outside the fingers. Other candidates describe different sites or different conditions (e.g., osteomyelitis). Hence, no exact clinical equivalent is present."
"Chorioamnionitis, second trimester, fetus 3",45592254,"Chorioamnionitis, second trimester, fetus 3",-1,no_match,"The source term specifies chorioamnionitis occurring during the second trimester and affecting fetus 3. None of the candidate concepts include both the infection (chorioamnionitis) and the gestational timing (second trimester) and fetus numbering. All available chorioamnionitis concepts lack trimester/fetus detail, while second-trimester pregnancy concepts lack the infection component. Therefore no candidate is an exact clinical equivalent."
Neonatal aspiration of clear amniotic fluid and mucus with respiratory symptoms,45592329,Neonatal aspiration of (clear) amniotic fluid and mucus with respiratory symptoms,-1,no_match,"None of the candidate concepts state both the specific aspirated materials (clear amniotic fluid AND mucus) together with the qualifier 'with respiratory symptoms'. The closest option (Aspiration of liquor or mucus in newborn, concept_id 4153454) does not require respiratory symptoms and therefore is broader than the source term. Consequently, no exact equivalent standard concept is available among the candidates."
"Trisomy 18, mosaicism",45592398,"Trisomy 18, mosaicism (mitotic nondisjunction)",4006587,Trisomy 18 - mitotic nondisjunction mosaicism,"Concept 4006587 represents Trisomy 18 in a mosaic form, which is exactly the clinical entity described by the source term. The added phrase ""mitotic nondisjunction"" reflects the typical mechanism producing mosaic trisomy and does not introduce additional clinical qualifiers (severity, timing, location, etc.) beyond the mosaic nature already implied, so it is not over-specification. No other candidate is as specific and appropriate."
Gonococcal infection of musculoskeletal tissue,45595591,Gonococcal infection of other musculoskeletal tissue,37116425,Infection of musculoskeletal system caused by Neisseria gonorrhoeae,"Concept 37116425 (Infection of musculoskeletal system caused by Neisseria gonorrhoeae) explicitly represents a gonococcal infection involving the musculoskeletal system/tissue. It contains all clinical details of the source (pathogen: Neisseria gonorrhoeae; location: musculoskeletal), without adding extra specificity (e.g., joint, tendon) or being more general (e.g., any gonorrhea). No other candidate meets the criteria as precisely."
Type 1 diabetes mellitus with diabetic polyneuropathy,45595795,Type 1 diabetes mellitus with diabetic polyneuropathy,37017431,Polyneuropathy due to type 1 diabetes mellitus,"The target concept 'Polyneuropathy due to type 1 diabetes mellitus' explicitly states both the presence of type 1 diabetes mellitus and its complication of polyneuropathy, matching all clinical details of the source term without adding or omitting information. Other candidates are either broader (e.g., general neuropathy or type 1 diabetes without specifying polyneuropathy) or pertain to type 2 diabetes, so they do not meet the exact-equivalence requirement."
"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced mood disorder",45595866,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced mood disorder",-1,no_match,"None of the candidate concepts include BOTH (1) dependence on sedatives, hypnotics or anxiolytics and (2) a sedative, hypnotic or anxiolytic-induced mood disorder. Each candidate captures only one component (either the induced mood disorder alone, the dependence alone, or other related but different conditions). Therefore no exact clinical equivalent is present among the target concepts."
"Osteophyte, left knee",45596553,"Osteophyte, left knee",36684563,Osteophyte of left knee,"The target concept ""Osteophyte of left knee"" (id 36684563) exactly matches the source term in both pathology (osteophyte/bone spur) and location/laterality (left knee). It is neither broader nor more specific than the source. All other candidates are either more general (e.g., ""Osteophyte of bone""), cover a different site or laterality (e.g., right knee), or represent different anatomic regions (hip, ankle, etc.)."
"Algoneurodystrophy, thigh",45596803,"Algoneurodystrophy, unspecified thigh",-1,no_match,"The source term describes complex regional pain syndrome (algoneurodystrophy) specifically involving the thigh. None of the candidate concepts capture both (a) the specific disorder—complex regional pain syndrome—and (b) the precise anatomic location—thigh. The closest option, ""Complex regional pain syndrome of lower limb"" (concept_id 42539474), is broader because it could refer to any part of the lower limb (foot, ankle, leg, thigh, hip) and therefore loses the required specificity. All other candidates are either too general (no location or different limb segment) or describe unrelated conditions. Consequently, no exact clinical equivalent is present among the targets."
"Maternal care for isoimmunization, first trimester",45596980,"Maternal care for other isoimmunization, first trimester, other fetus",-1,no_match,"None of the candidate concepts combine both required elements: (1) pregnancy complicated by isoimmunization and (2) specification that care is during the first trimester. Concepts like ""Pregnancy with isoimmunization"" lack the trimester detail (more general), while ""First trimester pregnancy"" lacks the isoimmunization complication (more general regarding condition). Other isoimmunization concepts refer to specific blood group incompatibilities or fetal/newborn conditions, not maternal care in the first trimester. Therefore, no exact equivalent concept is present in the candidate list."
Neonatal jaundice due to excessive haemolysis,45597087,"Neonatal jaundice due to excessive haemolysis, unspecified",-1,no_match,"The only candidate mentioning excessive hemolysis (concept_id 1076113) restricts the episode to the early neonatal period (first 7 days), making it more specific in timing than the source term, which applies to any time in the neonatal period (first 28 days). All other candidates are either too broad (e.g., ""Neonatal jaundice"") or specify a more detailed etiology (e.g., ABO incompatibility). Hence no exact equivalent concept is present in the list."
Acquired absence of left ankle,45600371,Acquired absence of left ankle,-1,no_match,"None of the candidate concepts represents the condition of an acquired (post-natal) absence specifically of the LEFT ankle. Available candidates are either: 1) more general (e.g., Absence of lower limb; Acquired absence of organ; Acquired absence of entire limb), 2) at a different anatomic level (e.g., Absent foot, Absence of toe), 3) congenital rather than acquired (e.g., Congenital absence of left foot), 4) describe deformity rather than absence (e.g., Acquired deformity of left ankle), or 5) represent a procedure, not a condition (e.g., Disarticulation of left ankle). Therefore, no exact clinical equivalent is present."
